film_name,year,song_name,singer(s),music_director,lyricist,duration
Kaho Naa... Pyaar Hai,2000,Kaho Naa Pyaar Hai,,Rajesh Roshan,Ibrahim Ashk,7:03
Kaho Naa... Pyaar Hai,2000,Na Tum Jano Na Hum,,Rajesh Roshan,Ibrahim Ashk,6:18
Kaho Naa... Pyaar Hai,2000,Pyaar Ki Kashti Mein,,Rajesh Roshan,Sawan Kumar Tak,5:54
Kaho Naa... Pyaar Hai,2000,Janeman Janeman,,Rajesh Roshan,Sawan Kumar Tak,5:11
Kaho Naa... Pyaar Hai,2000,Chand Sitaare,,Rajesh Roshan,Sawan Kumar Tak,6:33
Kaho Naa... Pyaar Hai,2000,Dil Ne Dil Ko Pukara,,Rajesh Roshan,Ibrahim Ashk,7:56
Kaho Naa... Pyaar Hai,2000,Kaho Naa Pyaar Hai (Sad Version),,Rajesh Roshan,Ibrahim Ashk,1:06
Kaho Naa... Pyaar Hai,2000,Ek Pal Ka Jeena,,Rajesh Roshan,Vijay Akela,6:36
Kaho Naa... Pyaar Hai,2000,Believe in Love (Theme Music),,Rajesh Roshan,—,3:58
Mohabbatein,2000,Humko Humise Chura Lo,"Lata Mangeshkar , Udit Narayan , Vocalists include Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit , Sonali Bhatawdekar, Udhbhav",Jatin–Lalit,,7:53
Mohabbatein,2000,Chalte Chalte (Part 1),"Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit , Sonali Bhatawdekar, Udhbhav",Jatin–Lalit,,7:38
Mohabbatein,2000,Pairon Mein Bandhan Hai (Part 1),"Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit, Sonali Bhatawdekar, Udhbhav, Udit Narayan (Vocalist), Lata Mangeshkar (Vocalist),",Jatin–Lalit,,7:01
Mohabbatein,2000,Aankhein Khuli,"Ishaan, Lata Mangeshkar (Vocalist), Manohar Shetty, Pritha Mazumdar, Shah Rukh Khan , Shweta Pandit, Sonali Bhatawdekar, Udhbhav, Udit Narayan",Jatin–Lalit,,7:02
Mohabbatein,2000,Soni Soni,"Ishaan, Jaspinder Narula , Manohar Shetty, Pritha Mazumdar, Shweta Pandit, Sonali Bhatawdekar, Udhbhav, Udit Narayan, Lata Mangeshkar (Vocalist),",Jatin–Lalit,,9:07
Mohabbatein,2000,Chalte Chalte (Part 2 (Not in the film)),"Manohar Shetty, Pritha Mazumdar, Shweta Pandit, Sonali Bhatawdekar, Udhbhav",Jatin–Lalit,,2:49
Mohabbatein,2000,Zinda Rehti Hain Mohabbatein (Part 2 of Pairon Mein Bandhan Hai),"Udit Narayan, Lata Mangeshkar, Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit , Sonali Bhatawdekar, Udhbhav (Vocalists)",Jatin–Lalit,,2:23
Mohabbatein,2000,Mohabbatein Love Themes (Instrumental),,Jatin–Lalit,,2:17
Mohabbatein,2000,Rhythms of Mohabbatein (Instrumental),,Jatin–Lalit,,3:56
Mission Kashmir,2000,Bumbro,"Shankar Mahadevan , Jaspinder Narula , Sunidhi Chauhan",Ehsaan Noorani,Rahat Indori,
Mission Kashmir,2000,Chupke Se Sun,"Udit Narayan , Alka Yagnik",Shankar Mahadevan,Sameer Anjaan,
Mission Kashmir,2000,Rind Posh Maal,Shankar Mahadevan,Loy Mendonsa,Sameer Anjaan,
Mission Kashmir,2000,Socho Ke Jheelon Ka,"Udit Narayan, Alka Yagnik & Shankar Mahadevan",Ehsaan Noorani,Sameer Anjaan,
Mission Kashmir,2000,Maaf Karo,"Shankar Mahdevan, Sadhana Sargam",Ehsaan Noorani,Rahat Indori,
Mission Kashmir,2000,So Ja Chanda,Mahalakshmi Iyer,Loy Mendonsa,Rahat Indori,
Mission Kashmir,2000,Dhuan Dhuan,Shankar Mahadevan,Shankar Mahadevan,Rahat Indori,
Dulhan Hum Le Jayenge,2000,Pyar Dilon Ka Mela Hai,"Alka Yagnik , Sonu Nigam","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Chamiya,"Alka Yagnik, Sonu Nigam","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Mujhse Shaadi Karogi,"Kumar Sanu , Alka Yagnik, Suresh Wadkar and Shankar Mahadevan","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Tera Pallu Sarka Jaaye Re,"Sonu Nigam, Alka Yagnik","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Dheere Dheere Chalna,"Alka Yagnik, Sonu Nigam","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,O Mr. Raja,"Alka Yagnik, Sonu Nigam","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Dulhan Hum Le Jayenge,"Kumar Sanu, Alka Yagnik and Sunita Rao","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Dulhan Hum Le Jayenge,2000,Hai Na Bolo,"Alka Yagnik, Kumar Sanu","Songs:, Himesh Reshammiya, Background Score:, Surinder Sodhi",,
Refugee,2000,Aisa Lagta Hai,"Sonu Nigam , Alka Yagnik","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,7:28
Refugee,2000,Jise Tu Na Mila,"Sukhwinder Singh , Shankar Mahadevan","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,10:58
Refugee,2000,Mere Humsafar,"Sonu Nigam , Alka Yagnik","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,7:50
Refugee,2000,Panchi Nadiya Pawan Ke,"Sonu Nigam , Alka Yagnik , Abhishek Bachchan , Kareena Kapoor","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,9:46
Refugee,2000,Raat Ki Hatheli Par,"Udit Narayan , Alka Yagnik , Abhishek Bachchan , Kareena Kapoor","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,6:58
Refugee,2000,Taal Pe Jab,"Sonu Nigam , Alka Yagnik","Songs:, Anu Malik, Score:, Aadesh Shrivastava",,7:13
Josh,2000,Apun Bola,Hema Sardesai and Shahrukh Khan,"Songs:, Anu Malik, Background Score:, Anjan Biswas",Nitin Raikwar,04:25
Josh,2000,Hai Mera Dil,Udit Narayan and Alka Yagnik,"Songs:, Anu Malik, Background Score:, Anjan Biswas",Sameer Anjaan,04:08
Josh,2000,Hum To Dil Se Haare,Udit Narayan and Alka Yagnik,"Songs:, Anu Malik, Background Score:, Anjan Biswas",Sameer Anjaan,05:06
Josh,2000,Mere Khayalon Ki Malika,Abhijeet Bhattacharya,"Songs:, Anu Malik, Background Score:, Anjan Biswas",Sameer Anjaan,04:50
Josh,2000,Zinda Hain Hum To,"Abhijeet Bhattacharya , Jolly Mukherjee and Hema Sardesai","Songs:, Anu Malik, Background Score:, Anjan Biswas",Nitin Raikwar,04:44
Josh,2000,Sailaru Sailare,Mano and Suresh Peters,"Songs:, Anu Malik, Background Score:, Anjan Biswas",Sameer Anjaan,05:25
Josh,2000,Hai Mera Dil (Instrumental),,"Songs:, Anu Malik, Background Score:, Anjan Biswas",,04:08
Josh,2000,Hum To Dil Se Haare (Instrumental),,"Songs:, Anu Malik, Background Score:, Anjan Biswas",,05:07
Har Dil Jo Pyar Karega,2000,Har Dil Jo Pyar Karega,"Alka Yagnik , Udit Narayan","Songs:, Anu Malik, Background Score:, Surinder Sodhi",,6:04
Har Dil Jo Pyar Karega,2000,Dil Dil Deewana,"Alka Yagnik, Udit Narayan","Songs:, Anu Malik, Background Score:, Surinder Sodhi",,5:55
Har Dil Jo Pyar Karega,2000,Aisa Pehli Baar Hua Hai,Sonu Nigam,"Songs:, Anu Malik, Background Score:, Surinder Sodhi",,6:47
Har Dil Jo Pyar Karega,2000,Piya Piya,"Preeti & Pinky , Prashant","Songs:, Anu Malik, Background Score:, Surinder Sodhi",,5:40
Har Dil Jo Pyar Karega,2000,Ek Garam Chai Ki Pyali Ho,Anu Malik,"Songs:, Anu Malik, Background Score:, Surinder Sodhi",,5:40
Har Dil Jo Pyar Karega,2000,Sahiba Sahiba,KK,"Songs:, Anu Malik, Background Score:, Surinder Sodhi",,2:42
Har Dil Jo Pyar Karega,2000,Sahiba Sahiba (Version 2),KK,"Songs:, Anu Malik, Background Score:, Surinder Sodhi",,1:33
Har Dil Jo Pyar Karega,2000,Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam","Songs:, Anu Malik, Background Score:, Surinder Sodhi",,6:12
Har Dil Jo Pyar Karega,2000,Har Dil Jo Pyar Karega (Sad Version),Alka Yagnik,"Songs:, Anu Malik, Background Score:, Surinder Sodhi",,3:49
Har Dil Jo Pyar Karega,2000,Har Dil Jo Pyar Karega Woh Gaana Gaaye Ga (Happy Version),"Udit Narayan, Kumar Sanu","Songs:, Anu Malik, Background Score:, Surinder Sodhi",,3:49
Fiza,2000,Aaja Mahiya,"Udit Narayan , Alka Yagnik",Anu Malik,Gulzar,
Fiza,2000,Mehboob Mere,"Sunidhi Chauhan , Karsan Sargathia",Anu Malik,Tejpal Kaur,
Fiza,2000,Tu Fiza Hai,"Alka Yagnik , Sonu Nigam , Prashant Samadhar",Anu Malik,Gulzar,
Fiza,2000,Gaya Gaya Dil,Sonu Nigam,Anu Malik,Sameer,
Fiza,2000,Piya Haji Ali,"A. R. Rahman , Kadar Ghulam Mushtafa, Murtaza Ghulam Mushtafa, Srinivas",A. R. Rahman,Shaukat Ali,
Fiza,2000,Na Leke Jao,Jaspinder Narula,Anu Malik,Gulzar,
Fiza,2000,Mere Watan: Amaan's Fury,Zubeen Garg,Ranjit Barot,Sameer,
Fiza,2000,Aankh Milaoongi,Asha Bhosle,Anu Malik,Sameer,
Hamara Dil Aapke Paas Hai,2000,Hamara Dil Aapke Paas Hai,Alka Yagnik & Udit Narayan,Sanjeev–Darshan,,
Hamara Dil Aapke Paas Hai,2000,I Love You,"Hema Sardesai , Anil Kapoor , Sonali Bendre",Sanjeev–Darshan,,
