film_name,year,song_name,singer(s),music_director,lyricist,duration
Drishyam 2,2022,Sahi Galat,King,Devi Sri Prasad,,2:49
Drishyam 2,2022,Saath Hum Rahein,Jubin Nautiyal,Devi Sri Prasad,,4:02
Drishyam 2,2022,Drishyam 2 - Title Track,"Vijay Prakash , Usha Uthup",Devi Sri Prasad,,3:20
The Kashmir Files,2022,Theme From The Kashmir Files,Instrumental,Rohit Sharma,Instrumental,4:40
The Kashmir Files,2022,Al Jihad,Instrumental,Rohit Sharma,Instrumental,0:55
The Kashmir Files,2022,Brahma Dutt's Theme,Instrumental,Rohit Sharma,Instrumental,4:13
The Kashmir Files,2022,Azadi,Instrumental,Rohit Sharma,Instrumental,1:04
The Kashmir Files,2022,Krishna's Theme,Instrumental,Rohit Sharma,Instrumental,2:08
The Kashmir Files,2022,"Raliv, Galiv Ya Chaliv",Instrumental,Rohit Sharma,Instrumental,2:12
The Kashmir Files,2022,Hum Dekhenge (Unplugged Version),Pallavi Joshi,Swapnil Bandodkar,Faiz Ahmad Faiz,1:38
The Kashmir Files,2022,Hum Dekhenge,"Swapnil Bandodkar , Pallavi Joshi, Shahzad Ali, Salman Ali , Meghna Mishra , Ananya Wadkar",Swapnil Bandodkar,Faiz Ahmad Faiz,3:41
The Kashmir Files,2022,Hum Dekhenge (Extended Version),"Swapnil Bandodkar, Pallavi Joshi, Shahzad Ali, Salman Ali, Meghna Mishra, Ananya Wadkar",Swapnil Bandodkar,Faiz Ahmad Faiz,2:06
The Kashmir Files,2022,Roshey,Noor Mohammad,Traditional,Traditional,8:25
The Kashmir Files,2022,Krishna's Speech,Noor Mohammad,Rohit Sharma,Traditional,1:27
The Kashmir Files,2022,Death Of Sharda,Instrumental,Rohit Sharma,Instrumental,1:24
The Kashmir Files,2022,The Kashmir Files Title Theme,Instrumental,Rohit Sharma,Instrumental,1:06
